phrase,pin,value,action
change pin one hundred and forty eight to five hundred and seventy six,one hundred and forty eight,five hundred and seventy six,change
turn on the pin two hundred and ninety two,two hundred and ninety two,on,turn
change pin eight hundred and twelve to seven hundred and ten,eight hundred and twelve,seven hundred and ten,change
change pin nine hundred and seventy four to seven hundred and fifty three,nine hundred and seventy four,seven hundred and fifty three,change
set the pin four hundred and fifty five to two hundred and thirty nine,four hundred and fifty five,two hundred and thirty nine,set
turn on the pin three hundred and eighty seven,three hundred and eighty seven,on,turn
turn pin three hundred and seventy five off,three hundred and seventy five,off,turn
change the pin four hundred and twenty nine to one thousand and ten,four hundred and twenty nine,one thousand and ten,change
change the pin one hundred and seventy five to thirty percent,one hundred and seventy five,thirty percent,change
set the pin two hundred and ninety seven to one hundred and seventy seven,two hundred and ninety seven,one hundred and seventy seven,set
turn pin seven hundred and forty off,seven hundred and forty,off,turn
change the pin seven hundred and twenty eight to two hundred and seventeen,seven hundred and twenty eight,two hundred and seventeen,change
set pin two hundred and two to eight hundred and thirty nine,two hundred and two,eight hundred and thirty nine,set
turn pin two hundred and sixty two on,two hundred and sixty two,on,turn
delete the pin nine hundred and forty four,nine hundred and forty four,,delete
set pin five hundred and sixty one to one hundred and seventy two,five hundred and sixty one,one hundred and seventy two,set
change pin nine hundred and ninety eight to five hundred and ninety four,nine hundred and ninety eight,five hundred and ninety four,change
turn pin four hundred and twenty seven off,four hundred and twenty seven,off,turn
change pin eighty five to four hundred and thirty seven,eighty five,four hundred and thirty seven,change
change pin eight hundred and sixty five to eighty percent,eight hundred and sixty five,eighty percent,change
set pin eight hundred and twenty to thirty five percent,eight hundred and twenty,thirty five percent,set
change pin seven hundred and thirty six to nine hundred and ninety three,seven hundred and thirty six,nine hundred and ninety three,change
change pin two hundred and twenty three to seven hundred and ninety seven,two hundred and twenty three,seven hundred and ninety seven,change
set the pin one thousand and sixteen to seven hundred and thirty four,one thousand and sixteen,seven hundred and thirty four,set
set pin four hundred and forty nine to seven hundred and seventy six,four hundred and forty nine,seven hundred and seventy six,set
set air conditioning to seven hundred and fifty six,air conditioning,seven hundred and fifty six,set
change the pin seven hundred and twenty three to four hundred and twenty five,seven hundred and twenty three,four hundred and twenty five,change
set pin two hundred and twenty two to three hundred and twenty eight,two hundred and twenty two,three hundred and twenty eight,set
change the pin ninety two to one hundred and seven,ninety two,one hundred and seven,change
set pin three hundred and sixty five to four hundred and fifty eight,three hundred and sixty five,four hundred and fifty eight,set
turn on the pin four hundred and twenty two,four hundred and twenty two,on,turn
change the pin two hundred and sixty five to one hundred and ten,two hundred and sixty five,one hundred and ten,change
change air conditioning to five hundred and twenty five,air conditioning,five hundred and twenty five,change
set pin four hundred and fifteen to one thousand and five,four hundred and fifteen,one thousand and five,set
turn on pin six hundred and seventy seven,six hundred and seventy seven,on,turn
set pin seven hundred and ninety five to nine hundred and ten,seven hundred and ninety five,nine hundred and ten,set
set pin four hundred and eighty five to nine hundred and ninety three,four hundred and eighty five,nine hundred and ninety three,set
change pin nineteen to four hundred and ninety two,nineteen,four hundred and ninety two,change
change pin three hundred and thirty three to three hundred and four,three hundred and thirty three,three hundred and four,change
change pin five hundred and thirty two to eight hundred and sixty one,five hundred and thirty two,eight hundred and sixty one,change
change the pin nine hundred and seventy one to one hundred and six,nine hundred and seventy one,one hundred and six,change
set the pin six hundred and sixty nine to nine hundred and fifty three,six hundred and sixty nine,nine hundred and fifty three,set
set the pin four hundred and twenty nine to two hundred and eighty nine,four hundred and twenty nine,two hundred and eighty nine,set
turn the pin six hundred and twenty four off,six hundred and twenty four,off,turn
change pin seventy eight to ten,seventy eight,ten,change
change pin thirty six to six hundred and twenty,thirty six,six hundred and twenty,change
change the pin six hundred and sixty six to nine hundred and fifty one,six hundred and sixty six,nine hundred and fifty one,change
delete pin seven hundred and ninety,seven hundred and ninety,,delete
set the pin two hundred and four to eight hundred,two hundred and four,eight hundred,set
change the pin seventy one to six hundred and thirty six,seventy one,six hundred and thirty six,change
set the pin six hundred and one to seven hundred and fifty nine,six hundred and one,seven hundred and fifty nine,set
change the pin five hundred and thirty four to eight hundred and forty five,five hundred and thirty four,eight hundred and forty five,change
change the pin nine hundred and forty one to nine hundred and twenty nine,nine hundred and forty one,nine hundred and twenty nine,change
